,LogLoss,F-measure_Class0,F-measure_Class1,F-measure,MeanRuntime,NumberOfTrees
Default CatBoost,0.002452088944,0.999773180058,0.854549163723,0.999523330095,27.8458161831,100
Default XGBoost,0.002372,0.999771408475,0.858695652174,0.999528695366,6.34430341721,32
Default LightGBM,0.00237910356605,0.999771412495,0.857142857143,0.99952602788,1.95496530533,100
