,LogLoss,F-measure_Class0,F-measure_Class1,F-measure,MeanRuntime,NumberOfTrees
Default CatBoost,0.19715975904,0.966519599469,0.0323198789474,0.905358001605,1.34091339111,100
Default XGBoost,0.189764,0.967867575463,0.218009478673,0.918774733361,0.10457777977,24
Default LightGBM,0.193122726685,0.966169445257,0.202298850575,0.916159211785,0.134678411484,53
