,LogLoss,F-measure_Class0,F-measure_Class1,F-measure,MeanRuntime,NumberOfTrees
Default CatBoost,0.18752718956,0.967092026241,0.208808166466,0.917447553565,15.2132189751,1101
Default XGBoost,0.189764,0.967867575463,0.218009478673,0.918774733361,0.178767347336,24
Default LightGBM,0.193122726685,0.966169445257,0.202298850575,0.916159211785,0.169374656677,53
